Fingerprint,Description
PubchemFP189,>= 2 saturated or aromatic heteroatom-containing ring size 6
PubchemFP190,>= 2 unsaturated non-aromatic carbon-only ring size 6
PubchemFP191,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6
PubchemFP192,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP193,>= 3 any ring size 6
PubchemFP194,>= 3 saturated or aromatic carbon-only ring size 6
PubchemFP195,>= 3 saturated or aromatic nitrogen-containing ring size 6
PubchemFP196,>= 3 saturated or aromatic heteroatom-containing ring size 6
PubchemFP197,>= 3 unsaturated non-aromatic carbon-only ring size 6
PubchemFP198,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6
PubchemFP199,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP200,>= 4 any ring size 6
PubchemFP201,>= 4 saturated or aromatic carbon-only ring size 6
PubchemFP202,>= 4 saturated or aromatic nitrogen-containing ring size 6
PubchemFP203,>= 4 saturated or aromatic heteroatom-containing ring size 6
PubchemFP204,>= 4 unsaturated non-aromatic carbon-only ring size 6
PubchemFP205,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6
PubchemFP206,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP207,>= 5 any ring size 6
PubchemFP208,>= 5 saturated or aromatic carbon-only ring size 6
PubchemFP209,>= 5 saturated or aromatic nitrogen-containing ring size 6
PubchemFP210,>= 5 saturated or aromatic heteroatom-containing ring size 6
PubchemFP211,>= 5 unsaturated non-aromatic carbon-only ring size 6
PubchemFP212,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6
PubchemFP213,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6
PubchemFP214,>= 1 any ring size 7
PubchemFP215,>= 1 saturated or aromatic carbon-only ring size 7
PubchemFP216,>= 1 saturated or aromatic nitrogen-containing ring size 7
PubchemFP217,>= 1 saturated or aromatic heteroatom-containing ring size 7
PubchemFP218,>= 1 unsaturated non-aromatic carbon-only ring size 7
PubchemFP219,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7
PubchemFP220,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7
PubchemFP221,>= 2 any ring size 7
PubchemFP222,>= 2 saturated or aromatic carbon-only ring size 7
PubchemFP223,>= 2 saturated or aromatic nitrogen-containing ring size 7
PubchemFP224,>= 2 saturated or aromatic heteroatom-containing ring size 7
PubchemFP225,>= 2 unsaturated non-aromatic carbon-only ring size 7
PubchemFP226,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7
PubchemFP227,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7
PubchemFP228,>= 1 any ring size 8
PubchemFP229,>= 1 saturated or aromatic carbon-only ring size 8
PubchemFP230,>= 1 saturated or aromatic nitrogen-containing ring size 8
PubchemFP231,>= 1 saturated or aromatic heteroatom-containing ring size 8
PubchemFP232,>= 1 unsaturated non-aromatic carbon-only ring size 8
PubchemFP233,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8
PubchemFP234,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8
PubchemFP235,>= 2 any ring size 8
PubchemFP236,>= 2 saturated or aromatic carbon-only ring size 8
PubchemFP237,>= 2 saturated or aromatic nitrogen-containing ring size 8
PubchemFP238,>= 2 saturated or aromatic heteroatom-containing ring size 8
